CRISNO,NAME,YEAR,HISTORY,ACTOR 1,ACTOR 2,A1 NUKES,A2 NUKES,A1 THREAT,A2 THREAT,A1 INTENSITY,A2 INTENSITY,KINETIC,# ACTORS,A1 DEMOCRACY,A2 DEMOCRACY,A1 AWARENESS,A2 AWARENESS,INDEPENDENCE,SALIENCE,A1 OUTCOME,A2 OUTCOME,COMPLEXITY,NOTES,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,S. OSSETIA/ABKHAZIA,2004,1,GRG,RUS,,,CONVENTIONAL,CONVENTIONAL,2,1,1,2,1,0,1,1,0,2,LOSS,WIN,0,https://www.rferl.org/a/1054281.html and https://www.cairn-int.info/article-E_PE_061_0051--thesouth-ossetia-conflict-russia.htm,,,,,,,,,,,,,,
446,ETHIOPIA-ERITREA II,2005,1,ETH,ERI,,,CONVENTIONAL,CONVENTIONAL,3,3,1,2,1,0,1,1,1,1,NEUTRAL,NEUTRAL,0,http://news.bbc.co.uk/2/hi/africa/4516754.stm,,,,,,,,,,,,,,
447,CHAD-SUDAN I,2005,1,CHA,SUD,,,CONVENTIONAL,CONVENTIONAL,1,1,1,2,1,0,1,1,1,3,NEUTRAL,NEUTRAL,0,https://www.cbsnews.com/news/president-chad-ends-sudan-relations/,,,,,,,,,,,,,,
448,IRAN NUCLEAR II,2006,1,IRN,USA,,,,ECONOMIC,,1,0,3,0,1,1,1,0,3,NEUTRAL,NEUTRAL,1,https://www.cnn.com/2012/03/06/world/meast/iran-timeline/index.html https://www.armscontrol.org/factsheets/Timeline-of-Nuclear-Diplomacy-With-Iran,,,,,,,,,,,,,,
448,IRAN NUCLEAR II,2006,2,IRN,UKG,,,NUCLEAR,ECONOMIC,3,1,0,3,0,0,1,1,0,2,LOSS,NEUTRAL,0,British sanctions/severing of ties against Iran - https://www.bbc.com/news/uk-politics-15823622. france may have been peripherally involved by calling on UNSC,,,,,,,,,,,,,,
450,N. KOREA NUCLEAR III,2006,1,PRK,USA,,,NUCLEAR,ECONOMIC,4,3,0,5,0,1,1,1,0,4,NEUTRAL,NEUTRAL,1,https://kls.law.columbia.edu/content/north-koreas-nuclear-program-history,,,,,,,,,,,,,,
450,N. KOREA NUCLEAR III,2006,2,PRK,USA,,,,ECONOMIC,,3,0,5,0,1,1,1,0,3,LOSS,NEUTRAL,0,could also code as loss for NK because the international community/US cut off humanitarian aid and strengthened sanctions afterward,,,,,,,,,,,,,,
450,N. KOREA NUCLEAR III,2006,3,PRK,JPN,,,NUCLEAR,ECONOMIC,3,3,0,5,0,1,1,1,0,3,NEUTRAL,NEUTRAL,0,https://www.ncnk.org/resources/briefing-papers/all-briefing-papers/overview-north-korea-japan-relations,,,,,,,,,,,,,,
450,N. KOREA NUCLEAR III,2006,4,PRK,CHN,,,NUCLEAR,ECONOMIC,2,2,0,5,0,0,1,1,0,2,NEUTRAL,NEUTRAL,0,CHN condemned the test - United Nations Security Council Resolution 1695,,,,,,,,,,,,,,
