crisno,year,crisname,ccode1,actor1,ccode2,actor2,history,crisis,victory1,prevail1,victory2,prevail2,a1outcome,a2outcome,ssbn_count_2024_1,ssbn_count_2024_2,ssbn_start_1,ssbn_start_2,hydrogen_start_1,hydrogen_start_2,sss_start_1,sss_start_2,coder,kinetic,a1democracy,a2democracy,complexity,salience,independence,a2awareness,a1awareness,a2threat,a1threat,a1intensity,a2intensity
106,1946,KARS-ARDAHAN,365,RUS,640,TUR,0,1,,,FALSE,FALSE,NEUTRAL,NEUTRAL,11,0,0,0,0,0,0,0,icb,0,0,1,,,,,,,,,
108,1946,AZERBAIJAN,200,UKG,365,RUS,0,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSE,4,11,0,0,0,0,0,0,icb,0,1,0,,,,,,,,,
108,1946,AZERBAIJAN,2,USA,365,RUS,0,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSE,14,11,0,0,0,0,0,0,icb,0,1,0,,,,,,,,,
108,1946,AZERBAIJAN,365,RUS,630,IRN,0,1,FALSE,FALSE,TRUE,TRUE,LOSE,WIN,11,0,0,0,0,0,0,0,icb,0,0,0,,,,,,,,,
109,1946,INDONESIA INDEP. I,210,NTH,850,INS,0,1,FALSE,FALSE,FALSE,FALSE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,icb,1,1,0,,,,,,,,,
109,1946,INDONESIA INDEP. I,200,UKG,850,INS,0,1,,,FALSE,FALSE,NEUTRAL,NEUTRAL,4,0,0,0,0,0,0,0,icb,1,1,0,,,,,,,,,
111,1946,TURKISH STRAITS,2,USA,365,RUS,0,1,TRUE,TRUE,,,WIN,LOSE,14,11,0,0,0,0,0,0,icb,0,1,0,0,2,1,1,1,,CONVENTIONAL,2,1
111,1946,TURKISH STRAITS,365,RUS,640,TUR,0,1,,,TRUE,TRUE,LOSE,WIN,11,0,0,0,0,0,0,0,icb,0,0,1,0,2,1,1,1,,,1,1
111,1946,TURKISH STRAITS,365,RUS,2,USA,1,1,FALSE,FALSE,TRUE,TRUE,LOSS,WIN,11,14,0,0,0,0,0,0,josiah,0,0,1,0,2,1,1,1,CONVENTIONAL,,1,2
111,1946,TURKISH STRAITS,365,RUS,200,UKG,1,1,FALSE,FALSE,TRUE,TRUE,LOSS,WIN,11,4,0,0,0,0,0,0,josiah,0,0,1,0,2,1,1,1,OTHER,,1,1
111,1946,TURKISH STRAITS,365,RUS,640,TUR,1,1,FALSE,FALSE,TRUE,TRUE,LOSS,WIN,11,0,0,0,0,0,0,0,josiah,0,0,1,0,2,1,1,1,,CONVENTIONAL,1,1
111,1946,Turkish Straits,365,RUS,2,USA,2,1,FALSE,FALSE,TRUE,TRUE,LOSS,WIN,11,14,0,0,0,0,0,0,kat,0,0,1,0,3,1,1,1,CONVENTIONAL,CONVENTIONAL,2,3
111,1946,Turkish Straits,365,RUS,640,TUR,2,1,FALSE,FALSE,TRUE,TRUE,LOSS,WIN,11,0,0,0,0,0,0,0,kat,0,0,1,0,3,1,1,1,,CONVENTIONAL,2,1
113,1947,COMMUNISM IN HUNGARY,310,HUN,365,RUS,0,1,FALSE,FALSE,TRUE,TRUE,LOSE,WIN,0,11,0,0,0,0,0,0,icb,0,0,0,0,1,1,1,0,OTHER,,1,2
