"","crisno","year","crisname","history","crisis","victory1","prevail1","victory2","prevail2","nuclear_start_1","nuclear_start_2","ssbn_count_2024_1","ssbn_count_2024_2","ssbn_start_1","ssbn_start_2","hydrogen_start_1","hydrogen_start_2","sss_start_1","sss_start_2","coder","kinetic2","a1democracy","a2democracy","complexity","salience","independence","a2awareness","a1awareness","a2threat","a1threat"
"1",111,1946,"Turkish Straits",1,1,0,0,1,1,0,0,11,0,0,0,0,0,0,0,"kat",0,0,1,"0",3,"1",1,1,"None","Conventional"
"2",111,1946,"Turkish Straits",1,1,0,0,1,1,0,0,11,14,0,0,0,0,0,0,"kat",0,0,1,"0",3,"1",1,1,"Conventional","Conventional"
"3",113,1947,"Communism In Hungary",1,1,1,1,0,0,0,0,11,0,0,0,0,0,0,0,"kat",0,0,1,"0",1,"1",0,1,"None","Other"
"4",114,1947,"Truman Doctrine",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"kat",NA,NA,NA,"0",NA,NA,NA,NA,"",""
"5",115,1947,"Marshall Plan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"kat",NA,NA,NA,"0",NA,NA,NA,NA,"",""
"6",116,1947,"Indonesia Indep. II",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"kat",1,1,1,"0",2,"0",1,1,"Conventional","Conventional"
"7",118,1947,"Junagadh",1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,"kat",1,0,0,"0",2,"0",1,1,"Conventional","Conventional, Economic"
"8",119,1947,"Kashmir I",1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,"kat",1,1,1,"0",3,"0",1,1,"Conventional","Conventional"
"9",120,1947,"Pal. Prt./Israel Ind.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"kat",1,0,0,"1",3,"0",1,1,"Conventional","Conventional"
"10",120,1947,"Pal. Prt./Israel Ind.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"kat",1,0,0,"1",3,"0",1,1,"Conventional","Conventional"
"11",120,1947,"Pal. Prt./Israel Ind.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"kat",1,0,1,"1",3,"0",1,1,"Conventional","Conventional"
"12",120,1947,"Pal. Prt./Israel Ind.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"kat",1,0,0,"1",3,"0",1,1,"Conventional","Conventional"
"13",120,1947,"Pal. Prt./Israel Ind.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"kat",1,0,1,"1",3,"0",1,1,"Conventional","Conventional"
"14",121,1948,"Communism In Czech.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"kat",NA,NA,NA,"",NA,NA,NA,NA,"",""
"15",123,1948,"Berlin Blockade",1,1,0,0,1,1,0,0,11,0,0,0,0,0,0,0,"kat",0,0,1,"0",2,"0",1,1,"None","Economic"
"16",123,1948,"Berlin Blockade",1,1,0,0,1,1,0,0,11,14,0,0,0,0,0,0,"kat",0,0,1,"0",2,"0",1,1,"Conventional, Economic","Conventional"
"17",123,1948,"Berlin Blockade",1,1,0,0,1,1,0,0,11,4,0,0,0,0,0,0,"kat",0,0,1,"0",2,"0",1,1,"Conventional, Economic","Conventional"
"18",125,1948,"China Civil War",1,1,1,1,0,0,0,0,11,6,0,0,0,0,0,0,"kat",1,0,0,"0",3,"1",1,1,"Conventional","Conventional"
"19",125,1948,"China Civil War",1,1,1,1,0,0,0,0,11,14,0,0,0,0,0,0,"kat",0,0,1,"0",3,"1",1,1,"Conventional, Economic","Conventional, Economic"
"20",127,1948,"Indonesia Indep. III",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"kat",1,1,1,"0",2,"0",1,1,"Conventional","Conventional"
"21",127,1948,"Indonesia Indep. III",1,1,0,0,1,1,0,0,0,14,0,0,0,0,0,0,"kat",0,1,1,"0",2,"0",1,1,"Economic","None"
"22",128,1948,"Sinai Incursion",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"kat",1,0,0,"0",3,"0",1,1,"Conventional","Conventional"
"23",128,1948,"Sinai Incursion",1,1,0,1,1,1,0,0,0,4,0,0,0,0,0,0,"kat",1,1,1,"0",3,"0",1,1,"Conventional","Conventional"
"24",129,1949,"Pushtunistan I",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"kat",1,0,0,"1",2,"0",1,1,"Conventional","Conventional"
"25",132,1950,"Korean War I",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"kat",1,0,1,"0",4,"0",1,1,"Conventional, Economic","Conventional, Economic"
"26",132,1950,"Korean War I",1,1,0,1,0,1,0,1,0,14,0,0,0,0,0,0,"kat",1,0,1,"0",4,"0",1,1,"Conventional, Economic","Conventional"
"27",132,1950,"Korean War I",1,1,0,1,0,1,0,0,0,4,0,0,0,0,0,0,"kat",1,0,1,"0",4,"0",1,1,"Conventional","Conventional"
"28",132,1950,"Korean War I",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"kat",1,0,1,"0",4,"0",1,1,"Conventional","Conventional"
"29",132,1950,"Korean War I",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"kat",1,0,1,"0",4,"0",1,1,"Conventional","Conventional"
"30",132,1950,"Korean War I",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"kat",1,0,1,"0",4,"0",1,1,"Conventional","Conventional"
"31",132,1950,"Korean War I",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"kat",1,0,1,"0",4,"0",1,1,"Conventional","Conventional"
"32",132,1950,"Korean War I",1,1,0,1,0,1,0,0,11,0,0,0,0,0,0,0,"kat",0,0,1,"0",4,"0",1,1,"None","Economic"
"33",132,1950,"Korean War I",1,1,0,1,0,1,0,1,11,14,0,0,0,0,0,0,"kat",0,0,1,"0",4,"0",1,1,"Other","Other"
"34",132,1950,"Korean War I",2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"max",1,0,1,"0",4,"0",1,1,"Conventional, Economic","Conventional, Economic"
"35",132,1950,"Korean War I",2,1,0,0,1,1,0,1,0,14,0,0,0,0,0,0,"max",1,0,1,"0",4,"0",1,1,"Conventional, Economic","Conventional"
